trial,analysis,status,r1,x1.c,c.x1.c1,@n2[dr],@n1[dr],@rm[r]
1,tran,ok,24.5348205054,,9.04013857186e-07,4.51220199384,0.91962064256,1018.16902622
2,tran,ok,21.1828413965,,1.18082157571e-06,13.3052107233,-2.23727670569,969.632099409
3,tran,ok,15.9771796274,,1.02835122004e-06,-8.38219382059,7.05127653696,1006.916445
4,tran,ok,37.8826739758,,1.09756685143e-06,-3.11875220799,-0.559243859178,995.148912257
5,tran,ok,26.6064545044,,1.01018664595e-06,-1.4292223174,33.4906799874,1024.37294506
6,tran,ok,34.9539093048,,1.05293804732e-06,6.19627986611,-1.04909317636,1012.93019241
7,tran,ok,0.160008300506,,9.87866540625e-07,1.35481017384,-2.61353525082,996.282163161
8,tran,ok,36.4267942816,,1.00836502902e-06,-15.291180905,9.08460268279,1021.92451702
9,tran,ok,16.1977591607,,8.57576880607e-07,-12.5290156866,-17.0009155236,994.473435872
10,tran,ok,4.50529581749,,1.08272473941e-06,5.05318243172,-7.1788633966,1011.40665613
11,tran,ok,20.8990632145,,8.66349942832e-07,-0.239000951172,-12.0244729658,968.443151966
12,tran,ok,16.510438191,,1.16433460039e-06,-1.31271545732,-4.94782713916,1031.6078332
13,tran,ok,11.4342093927,,1.19818854918e-06,1.18867410906,16.7200781036,959.337720671
14,tran,ok,24.0147799457,,9.29973715367e-07,-15.3835214926,-12.9538079421,1024.03980572
15,tran,ok,19.4664427706,,9.17971782164e-07,1.27589935579,-4.0058594703,984.705185783
16,tran,ok,15.8763864104,,8.99410443459e-07,2.59678484338,1.12986634046,1039.64792341
17,tran,ok,21.840186689,,8.86493688347e-07,19.508549341,10.175909834,1021.3624838
18,tran,ok,7.11109961863,,9.16418774571e-07,-12.0257701433,2.84458046173,1003.3083319
19,tran,ok,16.46538257,,9.28660412141e-07,2.55927280015,-8.12433575387,989.587889485
20,tran,ok,-2.73163757142,,1.07099199044e-06,-9.3185332438,-6.87197991926,1019.19569297
21,tran,ok,33.1115350017,,9.61281057996e-07,2.07191717665,-0.994714906805,1029.71432999
22,tran,ok,16.1317557037,,1.10284153606e-06,12.7435395828,-3.1996822623,1008.42949746
23,tran,ok,37.2393476732,,9.3586388804e-07,-7.76725683911,23.8947529377,997.302370993
24,tran,ok,24.6724771528,,8.11957096546e-07,6.74435789545,14.0640614432,981.398806513
25,tran,ok,26.2873636913,,9.09747666618e-07,8.77896447768,5.65339712707,982.432165835
26,tran,ok,9.87014397061,,1.04195646886e-06,2.62772734282,14.2080787804,986.102826456
27,tran,ok,22.5300826623,,1.06720746296e-06,-6.04880540742,22.4121363312,1017.25744373
28,tran,ok,29.0786365386,,8.55671760895e-07,3.78978900747,12.73914906,1041.37429991
29,tran,ok,14.3407293814,,1.05402730934e-06,-11.4473774252,-1.56857357442,997.180628621
30,tran,ok,17.1471657712,,9.79288777901e-07,7.49979075687,1.22130455314,1017.8288148
31,tran,ok,6.77182629377,,1.21999391482e-06,-0.80277385044,10.8158287473,989.056730525
32,tran,ok,18.2879973352,,1.11100975276e-06,17.0820180671,3.49916798537,969.829711688
33,tran,ok,32.2388995772,,1.00445097043e-06,-2.117204208,7.84885756166,973.707404477
34,tran,ok,29.526287559,,1.04625635669e-06,2.59897194994,-6.42277716204,999.165775875
35,tran,ok,31.0494240664,,9.90674008686e-07,-8.84485115909,-4.90591158378,960.462266145
36,tran,ok,2.09566807484,,1.01222240315e-06,4.19594459917,12.0841450374,985.573194866
37,tran,ok,30.0318773258,,1.16200658133e-06,1.35036775825,5.90554924123,1013.90054542
38,tran,ok,21.8079588586,,1.00173958025e-06,-3.32737178517,-3.99072613837,968.819491267
39,tran,ok,12.495761574,,1.06679171235e-06,-5.87733420541,1.04591367073,996.858396835
40,tran,ok,29.6244209604,,8.02890767799e-07,1.74502123934,3.33006011539,1002.90177885
41,tran,ok,25.483065421,,8.35000812723e-07,4.06840383636,7.88223931829,994.867446163
42,tran,ok,20.045531025,,9.63215454136e-07,-3.96868956655,-6.64583677575,1005.16370379
43,tran,ok,12.1544306199,,1.09471787243e-06,-12.6617910368,-4.87390455587,1005.76566999
44,tran,ok,27.6330823073,,7.59894857152e-07,-5.19094999207,2.50594986319,987.520777193
45,tran,ok,17.1040237104,,1.01861501985e-06,6.6138467314,9.86338634312,971.858512059
46,tran,ok,20.1321107439,,9.96020263181e-07,-12.9753013094,13.6510966509,971.852006821
47,tran,ok,40.3077959509,,1.00966427413e-06,2.00061728592,-9.70559281198,993.514719996
48,tran,ok,38.5195206152,,1.03020215937e-06,5.14992803357,-1.95363210246,993.688107339
49,tran,ok,15.9800013345,,1.03835713239e-06,-6.21672567682,4.62288300715,1015.10766196
50,tran,ok,24.9704872239,,1.08206189799e-06,-1.17120571124,-4.71312576932,986.79991241
51,tran,ok,20.6310036035,,9.43254420486e-07,-5.39394638225,11.4528565739,960.591190165
52,tran,ok,9.7705932016,,8.83268917669e-07,-7.90815760737,1.05551399283,1003.92224094
53,tran,ok,26.2908526469,,1.10394711552e-06,-10.6770475781,-8.1386390768,1027.37772011
54,tran,ok,16.1953706336,,9.31696611194e-07,2.22809702749,-6.81227751544,990.004050878
55,tran,ok,17.7151670144,,1.08187911069e-06,11.0655224255,-7.88239075329,995.261836203
56,tran,ok,15.9806233509,,8.94156415417e-07,-9.42269194406,15.3981564547,1014.10210996
57,tran,ok,-2.32964067166,,9.93989505747e-07,-6.10482287567,3.02985766286,994.357995424
58,tran,ok,24.3214134859,,8.09270432418e-07,-6.6603316561,-12.9832311107,993.54729977
59,tran,ok,15.1831116168,,9.70306383418e-07,13.2713246148,-5.19351955611,1038.92751753
60,tran,ok,23.5305814704,,1.01130548814e-06,2.22249974522,3.41060647151,984.756982213
61,tran,ok,26.162081666,,8.62228529522e-07,4.52583758332,12.0044674541,954.238818125
62,tran,ok,32.2834014856,,9.62060654422e-07,19.0139757878,13.0126995261,983.525471308
63,tran,ok,20.8532224475,,1.21194502173e-06,28.5443372365,8.57642981728,962.675463247
64,tran,ok,36.4688472969,,1.0748572192e-06,-6.74602915079,-1.69868167492,1028.64077377
65,tran,ok,8.12020293636,,1.07419079373e-06,9.21984286137,1.64660829273,979.147518771
66,tran,ok,14.1298512674,,9.51349673168e-07,7.53187946609,-0.193972742357,1050.84571523
67,tran,ok,9.18163738761,,9.5715722047e-07,-10.4682102697,7.73542687251,1021.17842485
68,tran,ok,17.3619498896,,9.92600880786e-07,-8.99662514173,-5.0507211448,981.029160262
69,tran,ok,15.426000034,,1.03389478407e-06,-3.9180764361,-13.271413628,1049.23554808
70,tran,ok,22.4001292743,,1.0129840945e-06,4.98193163247,0.701904558155,1034.06272168
71,tran,ok,19.7143742516,,1.16755238449e-06,10.7228642387,5.29894233505,1024.9154712
72,tran,ok,14.7905541885,,9.57993895364e-07,6.27832117617,-2.1800945333,1021.4604849
73,tran,ok,37.1263110915,,1.16916640957e-06,-10.3053515188,17.8047330325,1007.98496557
74,tran,ok,32.7880792219,,8.68386459189e-07,1.91522919758,-19.3555118179,996.673801897
75,tran,ok,3.17623643218,,8.78434203789e-07,-1.53511790638,-0.624753392446,986.809287706
76,tran,ok,30.6474405928,,9.71999821556e-07,-2.83440563421,5.27422943557,971.70575224
