trial,analysis,status,r1,@n1[dr],@rm[r],pk,npk,tpk,over,tr,q
1,tran,ok,24.5348205054,0.91962064256,1018.16902622,1.22587470677,2,0.000107080689285,0.225874706766,,
2,tran,ok,10.4013857186,-2.23727670569,969.632099409,1.54646928156,4,0.000100490845987,0.546469281559,,
3,tran,ok,21.1828413965,7.05127653696,1006.916445,1.28611461892,2,0.000104868548536,0.286114618915,,
4,tran,ok,38.0821575706,-0.559243859178,995.148912257,1.05089357614,1,0.000122629955211,0.0508935761374,,
5,tran,ok,15.9771796274,33.4906799874,1024.37294506,1.39990181928,2,0.000102314892518,0.399901819281,,
6,tran,ok,22.8351220045,-1.04909317636,1012.93019241,1.25527587676,2,0.000105901702631,0.255275876764,,
7,tran,ok,37.8826739758,-2.61353525082,996.282163161,1.05275760608,1,0.000122296086368,0.0527576060831,,
8,tran,ok,29.7566851425,9.08460268279,1021.92451702,1.14721675534,1,0.000111607403647,0.147216755337,,
9,tran,ok,26.6064545044,-17.0009155236,994.473435872,1.19068033263,1,0.000108654361864,0.190680332634,,
10,tran,ok,21.0186645951,-7.1788633966,1011.40665613,1.28887707057,2,0.00010476485952,0.288877070572,,
11,tran,ok,34.9539093048,-12.0244729658,968.443151966,1.08089474742,1,0.000117716686241,0.0808947474222,,
12,tran,ok,25.2938047317,-4.94782713916,1031.6078332,1.21362581348,1,0.000107659085291,0.213625813478,,
13,tran,ok,0.160008300506,16.7200781036,959.337720671,1.94253180534,5,9.93893232271e-05,0.942531805342,,
14,tran,ok,18.7866540625,-12.9538079421,1024.03980572,1.3347113726,2,0.000103571047864,0.334711372601,,
15,tran,ok,36.4267942816,-4.0058594703,984.705185783,1.06649111207,1,0.000119918067783,0.0664911120738,,
16,tran,ok,20.836502902,1.12986634046,1039.64792341,1.29383092031,2,0.000104677832499,0.293830920307,,
17,tran,ok,16.1977591607,10.175909834,1021.3624838,1.39361859557,2,0.000102394575086,0.393618595566,,
18,tran,ok,5.75768806074,2.84458046173,1003.3083319,1.70479245218,5,9.96674240983e-05,0.704792452178,,
19,tran,ok,4.50529581749,-8.12433575387,989.587889485,1.75179630138,5,9.95348626461e-05,0.751796301381,,
20,tran,ok,28.2724739406,-6.87197991926,1019.19569297,1.16726715429,1,0.000110153017433,0.167267154287,,
21,tran,ok,20.8990632145,-0.994714906805,1029.71432999,1.29215702885,2,0.000104708082676,0.292157028845,,
22,tran,ok,6.63499428315,-3.1996822623,1008.42949746,1.67263985277,5,9.97822733289e-05,0.672639852772,,
23,tran,ok,16.510438191,23.8947529377,997.302370993,1.38580613664,2,0.000102519569952,0.385806136644,,
24,tran,ok,36.4334600388,14.0640614432,981.398806513,1.06703737962,1,0.000119951442995,0.0670373796156,,
25,tran,ok,11.4342093927,5.65339712707,982.432165835,1.51673423068,3,0.000100758839008,0.51673423068,,
26,tran,ok,39.8188549183,14.2080787804,986.102826456,1.03557922772,1,0.000125853039404,0.0355792277225,,
27,tran,ok,24.0147799457,22.4121363312,1017.25744373,1.23543741862,2,0.000106713296154,0.235437418624,,
28,tran,ok,12.9973715367,12.73914906,1041.37429991,1.47576541278,3,0.000101239530818,0.47576541278,,
29,tran,ok,19.4664427706,-1.56857357442,997.180628621,1.31979668718,2,0.000103910631288,0.319796687184,,
30,tran,ok,11.7971782164,1.22130455314,1017.8288148,1.50765947865,3,0.000100868422556,0.507659478652,,
31,tran,ok,15.8763864104,10.8158287473,989.056730525,1.40004532818,2,0.00010225254842,0.400045328177,,
32,tran,ok,9.94104434588,3.49916798537,969.829711688,1.56088306284,4,0.000100385290781,0.560883062838,,
33,tran,ok,21.840186689,7.84885756166,973.707404477,1.27234198246,2,0.000105249411654,0.272341982456,,
34,tran,ok,8.64936883474,-6.42277716204,999.165775875,1.60296752092,5,0.00010011821085,0.602967520916,,
35,tran,ok,7.11109961863,-4.90591158378,960.462266145,1.65345004519,5,9.98449731737e-05,0.653450045185,,
36,tran,ok,11.6418774571,12.0841450374,985.573194866,1.51118497549,3,0.000100818809434,0.51118497549,,
37,tran,ok,16.46538257,5.90554924123,1013.90054542,1.38681222217,2,0.000102500253271,0.386812222173,,
38,tran,ok,12.8660412141,-3.99072613837,968.819491267,1.47559323257,3,0.000101170491154,0.475593232566,,
39,tran,ok,-2.73163757142,1.04591367073,996.858396835,3.17710869785,5,9.95506266427e-05,2.17710869785,,
40,tran,ok,27.0991990441,3.33006011539,1002.90177885,1.18437717933,1,0.000109103286479,0.18437717933,,
41,tran,ok,33.1115350017,7.88223931829,994.867446163,1.1036538697,1,0.000115346240115,0.103653869696,,
42,tran,ok,16.1281057996,-6.64583677575,1005.16370379,1.3939482207,2,0.000102353176739,0.393948220695,,
43,tran,ok,16.1317557037,-4.87390455587,1005.76566999,1.39395968996,2,0.000102355620854,0.393959689962,,
44,tran,ok,30.2841536057,2.50594986319,987.520777193,1.13850676342,1,0.000112105016142,0.138506763423,,
45,tran,ok,37.2393476732,9.86338634312,971.858512059,1.05844348305,1,0.000121205810753,0.0584434830487,,
46,tran,ok,13.586388804,13.6510966509,971.852006821,1.45721756305,3,0.000101409877174,0.457217563048,,
47,tran,ok,24.6724771528,-9.70559281198,993.514719996,1.2221548969,1,0.000107156885882,0.222154896899,,
48,tran,ok,1.19570965461,-1.95363210246,993.688107339,1.89403975266,5,9.93813689709e-05,0.894039752661,,
49,tran,ok,26.2873636913,4.62288300715,1015.10766196,1.19739696344,1,0.000108432138954,0.197396963437,,
50,tran,ok,10.9747666618,-4.71312576932,986.79991241,1.52989807531,4,0.000100635770664,0.529898075312,,
51,tran,ok,9.87014397061,11.4528565739,960.591190165,1.56302735437,4,0.00010036898913,0.563027354369,,
52,tran,ok,24.1956468859,1.05551399283,1003.92224094,1.23102124846,2,0.000106820755464,0.231021248463,,
53,tran,ok,22.5300826623,-8.1386390768,1027.37772011,1.26111226679,2,0.000105708761515,0.261112266785,,
54,tran,ok,26.7207462962,-6.81227751544,990.004050878,1.18916741502,1,0.00010875602704,0.189167415022,,
55,tran,ok,29.0786365386,-7.88239075329,995.261836203,1.15477447388,1,0.000110884780621,0.154774473879,,
56,tran,ok,5.5671760895,15.3981564547,1014.10210996,1.71295001109,5,9.96476057866e-05,0.71295001109,,
57,tran,ok,14.3407293814,3.02985766286,994.357995424,1.43810987035,3,0.000101673416836,0.438109870351,,
58,tran,ok,25.4027309339,-12.9832311107,993.54729977,1.21000707421,1,0.000107707564888,0.210007074205,,
59,tran,ok,17.1471657712,-5.19351955611,1038.92751753,1.37158594441,2,0.00010280046467,0.37158594441,,
60,tran,ok,17.9288777901,3.41060647151,984.756982213,1.35230772973,2,0.000103141637482,0.352307729731,,
61,tran,ok,6.77182629377,12.0044674541,954.238818125,1.66596326283,5,9.97961900384e-05,0.665963262828,,
62,tran,ok,41.9993914823,13.0126995261,983.525471308,1.01770002602,1,0.000130461982273,0.0177000260176,,
63,tran,ok,18.2879973352,8.57642981728,962.675463247,1.34374742525,2,0.000103305330881,0.343747425249,,
64,tran,ok,31.1009752764,-1.69868167492,1028.64077377,1.12928139991,1,0.000113014438777,0.129281399907,,
65,tran,ok,32.2388995772,1.64660829273,979.147518771,1.11320346316,1,0.000114258437269,0.113203463165,,
66,tran,ok,20.4450970435,-0.193972742357,1050.84571523,1.30198797419,2,0.000104464296669,0.301987974193,,
67,tran,ok,29.526287559,7.73542687251,1021.17842485,1.15027199195,1,0.00011137269459,0.150271991946,,
68,tran,ok,24.6256356686,-5.0507211448,981.029160262,1.22260587091,1,0.000107115917852,0.222605870914,,
69,tran,ok,31.0494240664,-13.271413628,1049.23554808,1.13027925352,1,0.000112966114279,0.130279253516,,
70,tran,ok,19.0674008686,0.701904558155,1034.06272168,1.32969863009,2,0.000103724440259,0.329698630085,,
71,tran,ok,2.09566807484,5.29894233505,1024.9154712,1.85497620404,5,9.93973719769e-05,0.854976204037,,
72,tran,ok,21.2222403153,-2.1800945333,1021.4604849,1.28557064226,2,0.000104895288711,0.285570642256,,
73,tran,ok,30.0318773258,17.8047330325,1007.98496557,1.14330097276,1,0.000111882492383,0.143300972761,,
74,tran,ok,36.200658133,-19.3555118179,996.673801897,1.0686537438,1,0.000119567079276,0.0686537437978,,
75,tran,ok,21.8079588586,-0.624753392446,986.809287706,1.27313982325,2,0.000105232418007,0.273139823251,,
76,tran,ok,20.173958025,5.27422943557,971.70575224,1.30452242502,2,0.00010427658399,0.304522425018,,
77,tran,ok,12.495761574,2.22986796284,949.020612302,1.48510497585,3,0.000101052366094,0.485104975853,,
78,tran,ok,26.6791712346,-5.19409109139,982.156176782,1.18953928783,1,0.000108714835921,0.189539287834,,
79,tran,ok,29.6244209604,1.39812774553,1030.97322692,1.14906534779,1,0.000111474896518,0.149065347785,,
80,tran,ok,0.289076779861,7.00280713402,1022.86725637,1.93877815128,5,9.93858843519e-05,0.93877815128,,
81,tran,ok,25.483065421,2.68229046779,953.253593349,1.20764745549,1,0.000107749186956,0.20764745549,,
82,tran,ok,3.5000812723,-9.09061147322,955.018342691,1.79075949068,5,9.94570320887e-05,0.79075949068,,
83,tran,ok,20.045531025,-7.82324827799,1044.78929498,1.30954102575,2,0.00010423916424,0.309541025752,,
84,tran,ok,16.3215454136,5.08760605921,1037.20624681,1.39109179941,2,0.000102449474731,0.391091799407,,
85,tran,ok,12.1544306199,-3.80089051267,1017.96996265,1.49737658354,3,0.00010097020509,0.497376583536,,
86,tran,ok,29.4717872428,-16.8901557254,1008.43419881,1.14954273262,1,0.000111281060388,0.149542732622,,
87,tran,ok,27.6330823073,1.32525101971,1015.79270374,1.17683376465,1,0.000109582415187,0.17683376465,,
88,tran,ok,-4.01051428481,-14.2889264836,1017.46916085,4.87898558803,5,9.96883580281e-05,3.87898558803,,
89,tran,ok,17.1040237104,-1.98061287228,995.223562887,1.37092217885,2,0.000102763249104,0.370922178853,,
90,tran,ok,21.8615019849,-2.12685076108,999.66737915,1.27260723099,2,0.000105272768468,0.27260723099,,
91,tran,ok,20.1321107439,-9.78224809545,960.48033202,1.304218221,2,0.000104238623329,0.304218221004,,
92,tran,ok,19.6020263181,-2.02506167498,999.508615902,1.31706732364,2,0.000103982567131,0.317067323642,,
93,tran,ok,40.3077959509,6.11984271458,976.343239611,1.03064921188,1,0.000126773863296,0.0306492118822,,
94,tran,ok,20.9664274135,-1.66715197604,1011.13206113,1.29009569583,2,0.000104736944308,0.290095695834,,
95,tran,ok,38.5195206152,-2.76673942566,1019.76594671,1.0477881967,1,0.000123454334308,0.0477881966951,,
96,tran,ok,23.0202159365,-8.36602968629,1026.69807717,1.25219130001,2,0.000106027124695,0.252191300011,,
97,tran,ok,15.9800013345,0.290859478943,1002.46622696,1.39767124136,2,0.000102295133018,0.39767124136,,
98,tran,ok,23.8357132389,-10.3268913814,1013.51654192,1.23713331252,2,0.000106564396004,0.237133312516,,
99,tran,ok,24.9704872239,-17.7663746107,1000.82497478,1.21718711244,1,0.000107379976741,0.217187112439,,
100,tran,ok,28.206189799,3.86381190345,1004.72795064,1.16808459268,1,0.000110089509399,0.16808459268,,
101,tran,ok,20.6310036035,2.07658781353,1014.42974207,1.2969726639,2,0.000104549671541,0.296972663901,,
102,tran,ok,14.3254420486,-8.34003919079,1009.51834657,1.43866132497,3,0.000101669340959,0.438661324974,,
103,tran,ok,9.7705932016,-2.96581502089,1008.77523586,1.56762646167,4,0.000100354420905,0.567626461667,,
104,tran,ok,8.32689176687,14.109624538,1009.84983675,1.61496964317,5,0.000100062809955,0.614969643171,,
105,tran,ok,26.2908526469,2.64326873983,1011.28715646,1.19711678085,1,0.00010843043637,0.197116780846,,
106,tran,ok,30.3947115525,4.07330369373,1030.30268074,1.13876850392,1,0.000112263733969,0.138768503919,,
107,tran,ok,16.1953706336,-3.84393647413,979.468108429,1.39136930756,2,0.000102370945466,0.391369307558,,
108,tran,ok,13.1696611194,20.7137296363,951.749938,1.46773649886,3,0.000101269173027,0.467736498857,,
109,tran,ok,17.7151670144,-4.53102714848,949.67655941,1.35511592982,2,0.000103019482118,0.355115929816,,
110,tran,ok,28.1879110691,8.46375718954,1024.71569127,1.16929750353,1,0.000110094362056,0.169297503526,,
111,tran,ok,15.9806233509,5.15256388061,1005.80564808,1.39799270694,2,0.000102298631754,0.397992706944,,
112,tran,ok,9.41564154165,-5.30256928032,1026.83623212,1.579473465,4,0.00010028017561,0.579473465003,,
