 1.00000000e+03 -1.71449205e-04  1.00000000e+03 -6.28310263e-03 
 1.12201845e+03 -2.15840658e-04  1.12201845e+03 -7.04973308e-03 
 1.25892541e+03 -2.71725541e-04  1.25892541e+03 -7.90989668e-03 
 1.41253754e+03 -3.42079417e-04  1.41253754e+03 -8.87500212e-03 
 1.58489319e+03 -4.30648080e-04  1.58489319e+03 -9.95784847e-03 
 1.77827941e+03 -5.42146852e-04  1.77827941e+03 -1.11727941e-02 
 1.99526231e+03 -6.82511419e-04  1.99526231e+03 -1.25359461e-02 
 2.23872114e+03 -8.59213489e-04  2.23872114e+03 -1.40653722e-02 
 2.51188643e+03 -1.08165799e-03  2.51188643e+03 -1.57813377e-02 
 2.81838293e+03 -1.36168283e-03  2.81838293e+03 -1.77065715e-02 
 3.16227766e+03 -1.71418755e-03  3.16227766e+03 -1.98665625e-02 
 3.54813389e+03 -2.15792401e-03  3.54813389e+03 -2.22898905e-02 
 3.98107171e+03 -2.71649066e-03  3.98107171e+03 -2.50085962e-02 
 4.46683592e+03 -3.41958228e-03  4.46683592e+03 -2.80585921e-02 
 5.01187234e+03 -4.30456036e-03  5.01187234e+03 -3.14801196e-02 
 5.62341325e+03 -5.41842540e-03  5.62341325e+03 -3.53182551e-02 
 6.30957344e+03 -6.82029232e-03  6.30957344e+03 -3.96234696e-02 
 7.07945784e+03 -8.58449501e-03  7.07945784e+03 -4.44522431e-02 
 7.94328235e+03 -1.08044761e-02  7.94328235e+03 -4.98677369e-02 
 8.91250938e+03 -1.35976541e-02  8.91250938e+03 -5.59405225e-02 
 1.00000000e+04 -1.71115043e-02  1.00000000e+04 -6.27493650e-02 
 1.12201845e+04 -2.15311411e-02  1.12201845e+04 -7.03820523e-02 
 1.25892541e+04 -2.70887464e-02  1.25892541e+04 -7.89362580e-02 
 1.41253754e+04 -3.40752594e-02  1.41253754e+04 -8.85204132e-02 
 1.58489319e+04 -4.28548072e-02  1.58489319e+04 -9.92545524e-02 
 1.77827941e+04 -5.38824260e-02  1.77827941e+04 -1.11271080e-01 
 1.99526231e+04 -6.77256783e-02  1.99526231e+04 -1.24715376e-01 
 2.23872114e+04 -8.50907912e-02  2.23872114e+04 -1.39746135e-01 
 2.51188643e+04 -1.06853905e-01  2.51188643e+04 -1.56535279e-01 
 2.81838293e+04 -1.34097877e-01  2.81838293e+04 -1.75267238e-01 
 3.16227766e+04 -1.68154766e-01  3.16227766e+04 -1.96137326e-01 
 3.54813389e+04 -2.10653557e-01  3.54813389e+04 -2.19348867e-01 
 3.98107171e+04 -2.63571722e-01  3.98107171e+04 -2.45108647e-01 
 4.46683592e+04 -3.29287795e-01  4.46683592e+04 -2.73620225e-01 
 5.01187234e+04 -4.10630101e-01  5.01187234e+04 -3.05074604e-01 
 5.62341325e+04 -5.10914151e-01  5.62341325e+04 -3.39637860e-01 
 6.30957344e+04 -6.33958190e-01  6.30957344e+04 -3.77435543e-01 
 7.07945784e+04 -7.84063489e-01  7.07945784e+04 -4.18534100e-01 
 7.94328235e+04 -9.65944183e-01  7.94328235e+04 -4.62920264e-01 
 8.91250938e+04 -1.18459244e+00  8.91250938e+04 -5.10480313e-01 
 1.00000000e+05 -1.44507012e+00  1.00000000e+05 -5.60982116e-01 
 1.12201845e+05 -1.75222912e+00  1.12201845e+05 -6.14063764e-01 
 1.25892541e+05 -2.11037935e+00  1.25892541e+05 -6.69232786e-01 
 1.41253754e+05 -2.52294152e+00  1.41253754e+05 -7.25879097e-01 
 1.58489319e+05 -2.99213678e+00  1.58489319e+05 -7.83302666e-01 
 1.77827941e+05 -3.51876895e+00  1.77827941e+05 -8.40753856e-01 
 1.99526231e+05 -4.10214244e+00  1.99526231e+05 -8.97481242e-01 
 2.23872114e+05 -4.74013336e+00  2.23872114e+05 -9.52779692e-01 
 2.51188643e+05 -5.42939866e+00  2.51188643e+05 -1.00603146e+00 
 2.81838293e+05 -6.16568158e+00  2.81838293e+05 -1.05673491e+00 
 3.16227766e+05 -6.94415802e+00  3.16227766e+05 -1.10451849e+00 
 3.54813389e+05 -7.75977118e+00  3.54813389e+05 -1.14914090e+00 
 3.98107171e+05 -8.60751589e+00  3.98107171e+05 -1.19048036e+00 
 4.46683592e+05 -9.48265236e+00  4.46683592e+05 -1.22851696e+00 
 5.01187234e+05 -1.03808462e+01  5.01187234e+05 -1.26331206e+00 
 5.62341325e+05 -1.12982428e+01  5.62341325e+05 -1.29498757e+00 
 6.30957344e+05 -1.22314902e+01  6.30957344e+05 -1.32370717e+00 
 7.07945784e+05 -1.31777257e+01  7.07945784e+05 -1.34966052e+00 
 7.94328235e+05 -1.41345396e+01  7.94328235e+05 -1.37305060e+00 
 8.91250938e+05 -1.50999270e+01  8.91250938e+05 -1.39408422e+00 
 1.00000000e+06 -1.60722353e+01  1.00000000e+06 -1.41296514e+00 
 1.12201845e+06 -1.70501124e+01  1.12201845e+06 -1.42988936e+00 
 1.25892541e+06 -1.80324589e+01  1.25892541e+06 -1.44504218e+00 
 1.41253754e+06 -1.90183850e+01  1.41253754e+06 -1.45859646e+00 
 1.58489319e+06 -2.00071730e+01  1.58489319e+06 -1.47071187e+00 
 1.77827941e+06 -2.09982464e+01  1.77827941e+06 -1.48153475e+00 
 1.99526231e+06 -2.19911426e+01  1.99526231e+06 -1.49119843e+00 
 2.23872114e+06 -2.29854916e+01  2.23872114e+06 -1.49982383e+00 
 2.51188643e+06 -2.39809976e+01  2.51188643e+06 -1.50752019e+00 
 2.81838293e+06 -2.49774245e+01  2.81838293e+06 -1.51438593e+00 
 3.16227766e+06 -2.59745843e+01  3.16227766e+06 -1.52050955e+00 
 3.54813389e+06 -2.69723268e+01  3.54813389e+06 -1.52597042e+00 
 3.98107171e+06 -2.79705329e+01  3.98107171e+06 -1.53083969e+00 
 4.46683592e+06 -2.89691073e+01  4.46683592e+06 -1.53518104e+00 
 5.01187234e+06 -2.99679747e+01  5.01187234e+06 -1.53905141e+00 
 5.62341325e+06 -3.09670747e+01  5.62341325e+06 -1.54250168e+00 
 6.30957344e+06 -3.19663598e+01  6.30957344e+06 -1.54557732e+00 
